 ModelType , Methods , OverallEditâ†“ , OverallEditâ†“ .1, TextEditâ†“ , TextEditâ†“ .1, FormulaEditâ†“ , FormulaEditâ†“ .1, TableTEDSâ†‘ , TableTEDSâ†‘ .1, TableEditâ†“ , TableEditâ†“ .1, Read OrderEditâ†“ , Read OrderEditâ†“ .1
 ModelType , Methods , EN , ZH , EN , ZH , EN , ZH , EN , ZH , EN , ZH , EN , ZH 
 PipelineTools , MinerU , 0.150 , 0.357 , 0.061 , 0.215 , 0.278 , 0.577 , 78.6 , 62.1 , 0.180 , 0.344 , 0.079 , 0.292 
 PipelineTools , Marker , 0.336 , 0.556 , 0.080 , 0.315 , 0.530 , 0.883 , 67.6 , 49.2 , 0.619 , 0.685 , 0.114 , 0.340 
 PipelineTools , Mathpix , 0.191 , 0.365 , 0.105 , 0.384 , 0.306 , 0.454 , 77.0 , 67.1 , 0.243 , 0.320 , 0.108 , 0.304 
 PipelineTools , Docling , 0.589 , 0.909 , 0.416 , 0.987 , 0.999 , 1 , 61.3 , 25.0 , 0.627 , 0.810 , 0.313 , 0.837 
 PipelineTools , Pix2Text , 0.320 , 0.528 , 0.138 , 0.356 , 0.276 , 0.611 , 73.6 , 66.2 , 0.584 , 0.645 , 0.281 , 0.499 
 PipelineTools , Unstructured , 0.586 , 0.716 , 0.198 , 0.481 , 0.999 , 1 , 0 , 0.06 , 1 , 0.998 , 0.145 , 0.387 
 PipelineTools , OpenParse , 0.646 , 0.814 , 0.681 , 0.974 , 0.996 , 1 , 64.8 , 27.5 , 0.284 , 0.639 , 0.595 , 0.641 
 PipelineTools , PP-StructureV3 , 0.145 , 0.206 , 0.058 , 0.088 , 0.295 , 0.535 , - , - , 0.159 , 0.109 , 0.069 , 0.091 
 ExpertVLMs , GOT-OCR , 0.287 , 0.411 , 0.189 , 0.315 , 0.360 , 0.528 , 53.2 , 47.2 , 0.459 , 0.520 , 0.141 , 0.280 
 ExpertVLMs , Nougat , 0.452 , 0.973 , 0.365 , 0.998 , 0.488 , 0.941 , 39.9 , 0 , 0.572 , 1.000 , 0.382 , 0.954 
 ExpertVLMs , Mistral OCR , 0.268 , 0.439 , 0.072 , 0.325 , 0.318 , 0.495 , 75.8 , 63.6 , 0.600 , 0.650 , 0.083 , 0.284 
 ExpertVLMs , OLMOCR-sglang , 0.326 , 0.469 , 0.097 , 0.293 , 0.455 , 0.655 , 68.1 , 61.3 , 0.608 , 0.652 , 0.145 , 0.277 
 ExpertVLMs , SmolDocling-256M , 0.493 , 0.816 , 0.262 , 0.838 , 0.753 , 0.997 , 44.9 , 16.5 , 0.729 , 0.907 , 0.227 , 0.522 
 ExpertVLMs , Dolphin , 0.206 , 0.306 , 0.107 , 0.197 , 0.447 , 0.580 , 77.3 , 67.2 , 0.180 , 0.285 , 0.091 , 0.162 
 ExpertVLMs , MinerU 2 , 0.139 , 0.240 , 0.047 , 0.109 , 0.297 , 0.536 , 82.5 , 79.0 , 0.141 , 0.195 , 0.069 , 0.118 
 ExpertVLMs , OCRFlux , 0.195 , 0.281 , 0.064 , 0.183 , 0.379 , 0.613 , 71.6 , 81.3 , 0.253 , 0.139 , 0.086 , 0.187 
 GeneralVLMs , GPT4o , 0.233 , 0.399 , 0.144 , 0.409 , 0.425 , 0.606 , 72.0 , 62.9 , 0.234 , 0.329 , 0.128 , 0.251 
 GeneralVLMs , Qwen2.5-VL-7B , 0.312 , 0.406 , 0.157 , 0.228 , 0.351 , 0.574 , 76.4 , 72.2 , 0.588 , 0.619 , 0.149 , 0.203 
 GeneralVLMs , InternVL3-8B , 0.314 , 0.383 , 0.134 , 0.218 , 0.417 , 0.563 , 66.1 , 73.1 , 0.586 , 0.564 , 0.118 , 0.186 
 Mix , MonkeyOCR-3B[Weight] , 0.140 , 0.297 , 0.058 , 0.185 , 0.238 , 0.506 , 80.2 , 77.7 , 0.170 , 0.253 , 0.093 , 0.244 
 Mix , MonkeyOCR-3B[Weight] , 0.154 , 0.277 , 0.073 , 0.134 , 0.255 , 0.529 , 78.2 , 76.2 , 0.182 , 0.262 , 0.105 , 0.183 
 Mix , MonkeyOCR-pro-3B[Weight] , 0.138 , 0.206 , 0.067 , 0.107 , 0.246 , 0.421 , 81.5 , 87.5 , 0.139 , 0.111 , 0.100 , 0.185 
 Mix , MonkeyOCR-pro-1.2B[Weight] , 0.153 , 0.223 , 0.066 , 0.123 , 0.272 , 0.449 , 76.5 , 83.7 , 0.176 , 0.131 , 0.097 , 0.187 
